ID,歌曲名,艺术家,专辑,曲速,稳度,常度,欢乐,轻松,忧郁,狂躁,奔放,悲痛,柔和,备注,
39,Sweet Nothing,"Calvin Harris,Florence Welch",18 Months,70,40,40,0,0,50,20,80,40,10,0,0
40,Sweat It Again,Westlife,WESTLIFE,30,70,60,20,80,0,0,80,0,100,0,0
41,Sway,The Pussycat Dolls,Pcd Tour Edition,60,60,60,80,100,0,0,100,0,60,0,0
42,Summertime Sadness,Lana Del Rey,Born to Die,50,70,40,30,20,70,0,80,50,30,0,0
43,Suit & Tie,"Justin Timberlake,Jay-Z",The 20/20 Experience,70,30,40,80,20,0,0,100,0,0,0,0
44,Stay,Rihanna,Unapologetic,50,80,60,60,80,0,0,100,0,70,0,0
45,Stan,Eminem,The Marshall Mathers LP,70,10,10,0,0,50,30,10,70,0,0,0
46,Someone's Watching Over Me,Hilary Duff,,50,70,50,0,60,30,0,70,50,80,0,0
47,So Yesterday,Hilary Duff,Best of Hilary Duff,60,40,40,10,20,30,0,70,20,40,0,0
48,Sitting Down Here,Lene Marlin,Playing My Game,60,70,70,0,70,30,0,30,30,100,0,0
49,Sexyback,Justin Timberlake,,50,50,50,20,0,0,0,100,0,0,0,0
50,Seven Years,Norah Jones,Come Away With Me,40,80,60,40,70,60,0,10,30,100,0,0
51,Sealed With A Kiss,Brian Hyland,60'S Gold,30,40,50,40,70,0,0,70,0,100,0,0
52,Scream & Shout,Will.I.Am，Britney Spears,#willpower,70,30,20,40,20,0,50,100,0,0,0,0
53,Say It Right,Nelly Furtado,Loose,50,50,50,10,0,70,10,60,40,0,0,0
54,Same Love,Macklemore & Ryan Lewis,The Heist,50,60,20,0,30,70,0,100,20,10,0,0
55,Sail,AWOLNATION,Megalithic Symphony,30,10,10,30,10,0,80,100,0,0,0,0
56,Run the Show,"Don Omar, Kat Deluna",9 Lives,70,30,30,0,0,0,50,70,0,0,0,0
57,Royals,Lorde,The Love Club,60,40,20,20,40,20,0,80,0,30,0,0
58,Roar,Katy Perry,PRISM,60,50,50,0,40,0,100,100,0,0,0,0
59,Remember The Name,Fort Minor,,80,30,30,40,30,0,0,100,0,0,0,0
60,Radioactive,Imagine Dragons,Night Visions,60,40,40,0,0,70,100,100,30,0,0,0
61,Put Your Arms Around Me,Natasha Bedingfield,Pocketful Of Sunshine,60,40,40,10,20,20,20,90,0,0,0,0
62,Promiscuous,Nelly Furtado,Loose,80,60,50,40,60,0,0,90,0,0,0,0
63,Power Trip,J.Cole,Power Trip,60,60,50,30,30,10,30,100,0,20,0,0
64,Out Of This Club,The Pussycat Dolls,Doll Domination,70,70,60,60,90,0,0,100,0,10,0,0
65,One More Night,Maroon5,Overexposed,70,30,20,0,0,50,50,100,30,0,0,0
66,Numb Encore,Collision Course EP,Linkin Park,70,50,50,40,20,0,0,100,0,0,0,0
67,Nothing In The World,Atomic Kitten,Ladies Night,60,70,60,20,40,30,0,90,0,70,0,0
68,Never Grow Old,The Cranberries,wake up and smell the coffee,20,50,50,60,100,0,0,60,0,100,0,0
69,Never Be The Same Again,Melanie C,Northern Star,50,50,50,0,30,70,0,50,20,40,0,0
70,Neon Lights,Demi Lovato,Demi,80,50,60,80,40,0,0,90,0,10,0,0
71,My Songs Know What You Did In The Dark,Fall out boy,Save Rock and Roll,70,30,40,0,0,20,80,100,0,0,0,0
72,My Lucky Day,Lene Marlin,Lost In A Moment,60,50,50,80,50,20,0,60,5,100,0,0
73,My First Ride,Aaron Carter,Another Earthquake,70,50,50,30,60,0,0,80,0,0,0,0
74,My December,Linkin Park,Hybrid Theory special edition,20,30,50,0,20,60,0,0,20,100,0,0
75,Music Box,Eminem,Relapse:Refill,80,20,20,0,0,20,100,100,10,0,0,0
76,Mirrors,Justin Timberlake,The 20/20 Experience,70,60,60,70,80,0,0,100,0,20,0,0
77,Me Against the Music,"Britney Spears,Madonna",In the Zone,60,30,30,60,30,0,0,90,0,0,0,0
78,Mary Jane Shoes,Fergie,The Dutchess Deluxe,50,40,60,70,40,10,0,90,0,10,0,0
79,Magic,Coldplay,,30,70,60,70,70,0,0,90,0,100,0,0
80,Mad Sexy Cool,Babyface,Grown & Sexy,40,80,70,20,100,0,0,40,0,100,0,0
81,Love The Way You Lie,Rihanna,Loud,50,70,80,10,60,20,0,80,10,60,0,0
82,Love Somebody,Maroon 5,Overexposed,70,40,60,50,40,0,0,100,0,30,0,0
83,Love Me,Justin Bieber,My World,70,50,50,70,60,0,0,100,0,20,0,0
84,Love Is Color Blind,Sarah Connor,key to my soul,50,50,50,40,60,30,0,60,0,50,0,0
85,Lose Yourself,Eminem,,80,20,20,30,30,0,10,100,0,10,0,0
86,Lose You,Linda Sundblad,,50,80,40,0,20,70,0,70,30,100,0,0
87,Lonely,Akon,,50,30,40,0,30,80,0,50,30,10,0,0
88,Locked Out Of Heaven,Bruno Mars,Unorthodox Jukebox,60,60,50,100,80,0,0,100,0,70,0,0
89,Listen,Beyonce,Dream Girls,70,20,30,0,0,50,50,100,30,0,0,0
90,Life For Rent,Dido,Life for Rent,50,70,50,0,50,70,0,60,0,80,0,0
91,Keep You Much Longer,Akon,Freedom,70,30,30,20,20,60,0,50,30,0,0,0
92,Just Give Me A Reason,P!nk,The Truth About Love,50,50,50,20,20,60,0,100,10,0,0,0
93,Just Dance,Lady GaGa,The Fame,60,40,50,70,20,0,10,90,0,0,0,0
94,It's Time,Imagine Dragons,It's Time,60,50,50,20,10,10,70,100,0,0,0,0
95,It's Amazing,Jem,,60,40,50,30,60,30,0,60,0,80,0,0
96,In the Morning,Norah Jones,诺拉琼斯和他的小伙伴们,50,70,50,30,30,0,0,70,0,20,0,0
97,In Stereo,Fort Minor,The Rising Tied,60,40,40,10,20,0,0,100,0,0,0,0
98,I'm Yours,Jason Mraz,We Sing We Dance We Steal Things ,70,60,70,70,100,0,0,100,0,20,0,0
99,I'm Gonna Getcha Good!,Shania Twain,up！,40,40,40,60,30,30,0,80,0,30,0,0
100,I Will Wait,Mumford & Sons,BABEL,60,60,60,30,70,0,0,100,0,50,0,0
101,I Remember,郭采洁,隐形超人,40,80,50,0,0,100,0,20,80,50,0,0
102,I Need Your Love,Ellie Goulding,18 Months,70,60,70,20,30,30,0,100,20,10,0,0
103,I Love It,Icona Pop,,70,60,60,30,30,20,80,100,0,0,0,0
104,I Hate Myself For Loving You,Joan Jett,Up Your Alley,60,40,60,0,0,50,50,80,30,0,0,0
105,Hung Up,Madonna,The confessions tour,70,40,40,0,0,30,60,80,0,0,0,0
106,Home,Westlife,Back Home,50,70,70,30,20,30,0,100,30,20,0,0
107,Holy Grail,"Justin Timberlake, Jay-Z",Magna Carta Holy Grail,70,10,10,0,0,30,70,100,60,0,0,0
108,"Hold On, We're Going Home",Drake,Nothing Was the Same,40,70,30,0,20,50,5,80,30,5,0,0
109,here With Me,Dido,here with me,40,60,60,0,60,40,0,70,5,40,0,0
110,Heart Attack,Demi Lovato,DEMI,70,30,40,30,30,20,40,100,0,0,0,0
111,Gotta Have You,The Weepies,Say I Am You,50,60,60,50,80,0,0,90,0,80,0,0
112,Get Lucky,Pharrell Williams,Random Access Memories,70,60,50,70,70,0,0,100,0,30,0,0
113,Get It Out Me,janet jackson,20 Y.O.,40,30,20,30,0,0,0,100,0,20,0,0
114,Freedom,Akon,Freedom,70,20,30,70,90,0,0,100,0,10,0,0
115,Free Loop,Daniel Powter,Daniel Powter ,60,70,70,60,100,0,0,60,0,100,0,0
116,Force Of Nature,Lenka,Lenka,50,50,50,70,100,0,0,60,0,100,0,0
117,Fool Again,Westlife,WESTLIFE,40,70,60,0,40,60,0,30,70,100,0,0
118,Floorfiller,A-Teens,,60,60,40,60,60,0,0,70,0,30,0,0
119,Fighter,Christina Aguilera,Stripped,70,30,40,10,0,10,80,80,20,0,0,0
120,Feel What I Feel,Kat Deluna,9 Lives,70,40,40,30,20,10,0,100,0,0,0,0
121,Feel This Moment,Pitbull，Christina Aguilera,Global Warming,70,60,50,80,80,0,0,100,0,30,0,0
122,End of may,Keren Ann,Not Going Anywhere,40,60,60,0,50,40,0,10,30,100,0,0
123,En Dag Tilbage,Nik&Jay,Nik&Jay 2,60,40,40,50,80,10,0,70,5,30,0,0
124,Don't You Worry Child ,Swedish House Mafia,Don't You Worry Child ,40,50,50,20,40,30,30,70,5,0,0,0
125,Don't Know Why,Norah Jones,Come Away With Me,50,50,50,10,60,50,0,70,20,50,0,0
126,Don't Cha,The Pussycat Dolls,Pcd Tour Edition,60,40,30,20,60,0,0,100,0,0,0,0
127,Don't Believe In Love,Dido,Safe Trip Home,60,40,40,0,40,60,0,50,30,100,0,0
128,Do Somethin',Britney Spears,Greatest Hits：My Prerogative,70,30,30,30,0,0,40,100,0,0,0,0
129,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded,70,40,30,0,10,0,70,70,0,0,0,0
130,Disguise,Lene Marlin,Another Day,50,60,40,40,100,50,0,50,0,80,0,0
131,Diamonds,Rihanna,Unapologetic,70,60,50,10,70,50,10,80,20,0,0,0
132,Daylight,Maroon 5,Overexposed,60,60,60,50,60,30,0,80,10,60,0,0
133,Cups,Anna Kendrick,Origianl Motion Picture Soundtrack,60,40,50,80,100,0,0,100,0,40,0,0
134,Cry Me A River,Justin Timberlake,Justified,50,50,50,0,0,80,0,80,40,30,0,0
135,Cruise,Florida Georgia Line,Here's to the Good Times,70,60,50,100,70,0,0,100,0,0,0,0
136,Come Into My World,Kylie Minogue,Boombox,50,50,60,40,30,0,0,100,0,50,0,0
137,Come Clean ,Hilary Duff,Metamorphosis,50,40,50,20,30,0,5,80,0,0,0,0
138,Come & Get It,Selena Gomez,,60,30,50,70,50,0,0,100,0,0,0,0
139,Clarity,Zedd,Clarity,60,50,40,30,10,20,40,100,0,0,0,0
140,Chain Hang Low,Jovan Kampbell,,80,40,50,50,80,0,0,80,0,50,0,0
141,Can't Take My Eyes Off You,王若琳,,60,50,60,80,90,0,0,100,0,20,0,0
142,Can't Hold Us,Macklemore& Ryan lewis,The Heist (Deluxe Edition),90,40,40,30,0,0,100,100,0,0,0,0
143,Buttons,The Pussycat Dolls,Pcd Tour Edition,50,60,50,60,60,0,0,100,0,20,0,0
144,Burning,Maria Arredondo,Not Going Under,50,70,40,10,20,30,0,60,30,50,0,0
145,Buckle Up n Chuggeluck,Heaven,,60,40,50,60,60,0,0,70,0,20,0,0
146,Blurred Lines,Robin Thicke,Blurred Lines,60,70,30,40,50,0,10,100,0,20,0,0
147,Believe Me,Fort Minor,The Rising Tied,70,30,30,0,30,20,0,100,10,30,0,0
148,Beep,The Pussycat Dolls,Pcd Tour Edition,50,50,20,40,60,0,0,100,0,0,0,0
149,Beauty And A Beat,Justin Bieber,Believe,70,50,30,70,60,0,30,100,0,0,0,0
150,Beautiful Ones,Suede,Singles,50,40,50,30,20,20,20,80,0,0,0,0
151,Beautiful Liar,Beyonce and Shakira,B'Day,60,30,50,0,0,30,40,80,20,0,0,0
152,Beautiful Girls,Sean Kingston,,50,40,40,0,0,60,0,80,50,30,0,0
153,Beautiful,Eminem,Relapse:Refill,60,60,50,20,10,30,0,70,10,20,0,0
154,Beat Of My Heart,Hilary Duff,Most Wanted,60,40,40,40,10,0,0,100,0,0,0,0
155,Be What You Wanna Be,Darin Zanyar,Darin,70,40,40,100,100,0,0,100,0,30,0,0
156,Applause,Lady GaGa,ARTPOP,60,50,50,60,0,5,40,100,0,0,0,0
157,Anaesthesia,Maximilian Hecker,,40,60,60,40,60,0,0,40,0,90,0,0
158,Always Come Back To Your Love,Samantha Mumba,Gotta Tell You,60,40,40,30,40,0,0,80,0,30,0,0
159,7 Days,Craig David,Born To Do It,60,50,50,50,40,0,0,100,0,40,0,0
160,4 Minutes,Madonna Ciccone,Hard Candy,60,40,30,60,40,0,30,100,0,0,0,0
161,夜曲,周杰伦,十一月的萧邦,90,70,30,0,0,90,10,20,90,30,0,0
162,稻香,周杰伦,魔杰座,70,80,60,80,80,0,0,10,0,80,0,0
163,止战之殇,周杰伦,七里香,100,20,30,0,0,30,0,30,90,30,0,0
164,青花瓷,周杰伦,我很忙,30,100,100,50,80,20,0,0,0,80,0,0
165,牛仔很忙,周杰伦,我很忙,90,80,30,80,90,0,0,70,0,20,0,0
166,霍元甲,周杰伦,霍元甲,70,60,40,0,0,0,50,80,0,0,0,0
167,甜甜的,周杰伦,我很忙,80,100,80,90,90,0,0,20,0,60,0,0
168,说好的幸福呢,周杰伦,魔杰座,20,90,90,0,0,100,0,0,95,50,0,0
169,夜的第七章,周杰伦,依然范特西,90,40,50,0,0,80,0,0,80,30,0,0
170,浮夸,陈奕迅,U-87,50,40,40,0,0,60,30,80,0,10,0,0
171,爱情转移,陈奕迅,认了吧,60,90,90,0,0,80,0,0,70,80,0,0
172,十年,陈奕迅,The Best Moment,50,90,90,0,0,80,0,0,80,70,0,0
173,阴天快乐,陈奕迅,米.闪,50,80,80,70,40,20,0,20,0,80,0,0
174,K歌之王,陈奕迅,The Best Moment,50,90,90,0,40,80,0,0,70,70,0,0
175,全世界失眠,陈奕迅,反正是我,60,100,80,0,0,80,0,0,70,80,0,0
176,江南,林俊杰,第二天堂,80,90,80,0,60,80,0,0,80,90,0,0
177,曹操,林俊杰,曹操,60,90,70,0,60,0,0,80,0,40,0,0
178,一千年以后,林俊杰,编号89757,60,80,70,0,0,90,0,0,70,70,0,0
179,我还想她,林俊杰,JJ陆,60,70,80,0,0,80,0,0,90,40,0,0
180,美人鱼,林俊杰,第二天堂,80,40,50,0,80,0,0,50,0,40,0,0
181,醉赤壁,林俊杰,JJ陆,40,90,80,0,0,90,0,0,90,90,0,0
182,修炼爱情,林俊杰,因你而在,60,90,90,0,0,80,0,0,90,80,0,0
183,杀手,林俊杰,西界,80,100,70,0,60,70,0,30,80,0,0,0
184,豆浆油条,林俊杰,第二天堂,50,100,100,80,80,0,0,0,0,90,0,0
185,黑武士,林俊杰,JJ陆,50,90,70,0,0,70,0,80,90,70,0,0
186,光辉岁月,Beyond,Band-5 世纪组合,50,60,70,50,0,0,0,100,0,0,0,0
187,死了都要爱,信乐团,挑信,60,30,40,0,0,90,30,70,0,40,0,0
188,苏三起解,于文华,单曲,60,90,100,0,0,70,0,0,80,80,0,0
189,贵妃醉酒,梅兰芳,单曲,40,90,90,0,0,80,0,0,0,90,0,0
190,葬花吟,郑绪岚,红楼梦,40,90,90,0,0,90,0,0,90,90,0,0
191,空城计,于魁智,于魁智老生唱腔专辑（二）,50,90,90,0,70,0,0,0,0,60,0,0
192,甘露寺,于魁智,于魁智老生唱腔专辑（二）,50,90,90,0,0,70,0,0,70,60,0,0
193,沙家浜智斗样板戏京剧,佚名,单曲,40,70,80,0,70,0,0,80,0,0,0,0
194,祥云冉冉波罗天(天女散花),刁丽,京剧之星,50,90,90,80,80,0,0,0,0,90,0,0
195,天上掉下个林妹妹,张瑞希,单曲,60,80,80,90,90,0,0,30,0,0,0,0
196,十八相送,佚名,单曲,60,80,80,0,80,0,0,70,0,70,0,0
197,惜别离,茅威涛 黄依群,单曲,50,80,90,0,0,80,0,0,0,80,0,0
198,十送红军,宋祖英,十送红军,70,80,80,80,70,0,0,80,0,70,0,0
199,好日子,宋祖英,大地飞歌,70,90,90,90,90,0,0,90,0,0,0,0
200,大地飞歌,宋祖英,大地飞歌,70,60,70,90,90,0,0,80,0,30,0,0
201,洪湖水浪打浪,宋祖英,大地飞歌,60,90,90,70,80,0,0,0,0,70,0,0
202,爱我中华,宋祖英,大地飞歌,60,90,80,90,90,0,0,90,0,0,0,0
203,祝福妈妈,佚名,单曲,60,80,80,0,70,70,0,0,0,70,0,0
204,民族舞会,于文华,单曲,60,80,80,80,30,0,0,80,0,20,0,0
205,沂蒙山小调,于文华,沂蒙山小调,40,80,80,70,60,0,0,0,0,70,0,0
206,摇篮曲,于文华,单曲,50,80,90,0,80,0,0,0,0,100,0,0
207,小白菜,于文华,国宝民歌,50,90,90,0,0,80,0,0,70,90,0,0
208,我用歌声祝福你,于文华,单曲,60,60,70,80,60,0,0,50,0,80,0,0
209,痴情小妹妹,于文华,单曲,70,70,80,90,90,0,0,80,0,50,0,0
210,婚誓,于文华,单曲,60,80,70,90,80,0,0,0,0,80,0,0
211,龙船调,于文华,单曲,70,50,60,90,90,0,0,70,0,70,0,0
212,老伴,于文华,单曲,70,80,80,80,70,0,0,80,0,60,0,0
213,纤夫谣,于文华,单曲,60,80,80,70,80,0,0,90,0,40,0,0
214,母亲,阎维文,战士情歌,50,80,100,0,80,0,0,90,0,60,0,0
215,当你的秀发拂过我的钢枪,阎维文,单曲,60,70,70,0,60,60,0,90,0,60,0,0
216,说句心里话,阎维文,我爱你中国,70,80,80,0,80,70,0,80,0,60,0,0
217,小白杨,阎维文,小白杨,70,70,80,70,80,0,0,90,0,70,0,0
218,父亲,阎维文,单曲,60,50,50,0,0,90,0,80,50,60,0,0
219,人间第一情,阎维文,小白杨,70,70,80,60,80,0,0,0,0,80,0,0
220,我想有个家,毛阿敏,单曲,70,60,50,0,0,90,0,80,70,0,0,0
221,真的好想你,毛阿敏,单曲,50,70,80,0,60,80,0,0,20,100,0,0
222,相思,毛阿敏,腔·调,70,80,70,0,0,90,0,0,70,90,0,0
223,烛光里的妈妈,毛阿敏,单曲,60,80,80,0,0,90,0,0,70,90,0,0
224,渴望,毛阿敏,渴望,60,70,80,20,0,90,0,30,90,80,0,0
225,爱上张无忌,毛阿敏,美满,60,60,50,0,70,90,0,90,0,20,0,0
226,神的传说,毛阿敏,封神榜电视连续剧歌曲,70,70,60,0,30,60,0,80,20,40,0,0
227,永恒的诱惑,毛阿敏,武则天,60,60,80,0,30,70,0,60,0,70,0,0
228,爱在指尖,毛阿敏,腔·调,50,60,60,0,0,90,0,60,70,80,0,0
229,十五的月亮,董文华,我爱你中国,60,80,90,30,50,0,0,90,0,50,0,0
230,今天是你的生日我的祖国,董文华,单曲,50,70,80,90,80,0,0,90,0,0,0,0
231,为了谁,董文华,单曲,60,60,90,30,0,90,0,90,0,70,0,0
232,走西口,董文华,单曲,70,80,90,0,80,70,0,90,0,80,0,0
233,让我们荡起双桨,董文华,单曲,60,70,90,90,90,0,0,90,0,50,0,0
234,春天的故事,董文华,单曲,70,90,90,70,80,0,0,80,0,70,0,0
235,知不知道,董文华,单曲,70,80,70,90,90,0,0,80,0,30,0,0
236,知足常乐,董文华,中国年,60,80,90,80,40,10,0,0,0,90,0,0
237,归航,董文华,秋天的诉说,70,70,80,70,80,0,0,90,0,20,0,0
238,怒放的生命,汪峰,怒放的生命,70,60,60,0,20,30,40,90,0,0,0,0
239,飞得更高,汪峰,笑着哭,60,60,70,20,40,60,60,90,0,0,0,0
240,笑着哭,汪峰,笑着哭,60,80,80,0,0,90,0,40,70,80,0,0
241,彼岸,汪峰,笑着哭,60,60,60,0,30,70,60,90,20,0,0,0
242,我的爱,汪峰,爱是一颗幸福的子弹,70,50,50,70,70,0,0,90,0,0,0,0
243,妈妈,汪峰,花火,70,50,40,0,10,90,0,0,80,60,0,0
244,有些事我们永远无法左右,汪峰,生无所求,60,0,40,0,0,90,80,90,50,0,0,0
245,我如此爱你,汪峰,勇敢的心,60,80,80,0,0,90,30,0,80,70,0,0
246,英雄,汪峰,爱是一颗幸福的子弹,80,70,80,80,70,0,0,90,0,0,0,0
247,荷塘月色,凤凰传奇,我从草原来,60,90,90,90,90,0,0,0,0,90,0,0
248,最炫民族风,凤凰传奇,最炫民族风,80,70,80,90,90,0,0,90,0,0,0,0
249,自由自在,凤凰传奇,最好的时代,80,70,80,90,90,0,30,90,0,0,0,0
250,感到幸福你就拍拍手,凤凰传奇,最好的时代,80,70,80,90,90,0,0,90,0,30,0,0
251,中国味道,凤凰传奇,中国味道,70,80,80,90,90,0,0,90,0,0,0,0
252,策马奔腾,凤凰传奇,大声唱,60,70,70,90,90,0,70,90,0,0,0,0
253,我和草原有个约定,凤凰传奇,姑娘的温柔,60,80,80,70,70,0,0,90,0,60,0,0
254,最好的时代,凤凰传奇,最好的时代,70,80,80,90,80,0,0,90,0,0,0,0
255,指间沙,凤凰传奇,最好的时代,70,80,90,0,0,80,70,90,40,20,0,0
256,心驰神往,凤凰传奇,吉祥如意,60,80,80,80,80,0,0,40,0,60,0,0
257,向天再借五百年,韩磊,帝王之声,70,70,90,0,0,90,60,90,60,0,0,0
258,好男儿,韩磊,单曲,60,80,90,20,60,0,0,100,0,0,0,0
259,最后的倾诉,韩磊,最后的倾诉,60,80,90,0,0,70,0,90,0,0,0,0
260,人间正道是沧桑,韩磊,单曲,60,70,60,0,0,70,50,70,30,0,0,0
261,走了这么久,韩磊,单曲,60,80,80,80,70,0,0,20,0,60,0,0
262,梦中的母亲,韩磊,单曲,60,80,80,20,50,80,0,0,0,90,0,0
263,浩浩乾坤,韩磊,单曲,70,60,80,0,0,0,50,80,0,0,0,0
264,心灵睡过的地方,韩磊,单曲,60,50,80,0,40,0,0,0,0,70,0,0
265,我不想输,韩磊,我爱我家主题曲,70,80,60,0,90,0,60,90,0,0,0,0
266,堂堂中国人,韩磊,单曲,70,60,80,0,80,0,0,80,0,0,0,0
267,你快回来,孙楠,楠得精选,70,60,90,0,0,90,60,90,70,40,0,0
268,只要有你,那英&孙楠,心酸的浪漫,60,60,90,0,0,90,30,70,50,90,0,0
269,美丽的神话,韩红&孙楠,恋曲神话,60,50,80,0,70,50,0,90,0,60,0,0
270,五星红旗,孙楠,单曲,60,50,90,60,70,0,0,90,0,0,0,0
271,拯救,孙楠,缘分的天空,60,50,60,0,0,90,80,90,60,0,0,0
272,缘分天空,孙楠,缘分的天空,70,90,70,80,90,0,0,0,0,80,0,0
273,追寻,孙楠,活的美好,60,60,60,0,0,90,0,50,60,70,0,0
274,小情歌,苏打绿,小宇宙,80,80,40,80,80,0,0,0,0,80,0,0
275,我好想你,苏打绿,秋:故事,60,80,80,20,20,90,0,0,40,90,0,0
276,你在烦恼什么,苏打绿,你在烦恼什么,70,80,50,80,90,0,0,0,0,100,0,0
277,他夏了夏天,苏打绿,夏/狂热,80,80,70,90,90,0,0,0,0,90,0,0
278,迟到千年,苏打绿,迟到千年,70,90,90,90,90,0,0,0,0,90,0,0
279,拾穗,苏打绿,秋:故事,60,90,70,50,70,80,0,0,0,90,0,0
280,忐忑,龚琳娜,神曲,100,0,0,100,0,0,100,100,0,0,0,0
281,我的滑板鞋,庞麦郎,我的滑板鞋,70,0,0,100,100,100,0,0,0,0,0,0
282,杀马特遇见洗剪吹,杀马特,神曲,70,0,0,100,100,0,0,100,0,0,0,0
283,月光,胡彦斌,音乐斌潮,60,50,60,0,0,90,0,0,90,70,0,0
284,诀别诗,胡彦斌,男人歌,60,60,70,0,0,90,0,0,90,60,0,0
285,潇湘雨,胡彦斌,男人歌,60,80,90,0,60,90,0,0,0,90,0,0
286,蝴蝶,胡彦斌,音乐密码,70,80,60,0,90,60,0,0,0,90,0,0
287,天亮了,韩红,醒了,70,50,50,0,0,90,70,0,90,50,0,0
288,天路,韩红,感动,70,60,90,90,90,0,0,90,0,70,0,0
289,王妃,萧敬腾,王妃,80,40,40,10,90,0,80,90,0,0,0,0
290,会痛的石头,萧敬腾,王妃,60,90,80,0,0,90,0,0,90,60,0,0
291,新不了情,萧敬腾,单曲,70,80,70,0,0,90,80,50,90,0,0,0
292,只能想念你,萧敬腾,狂想曲,60,80,50,0,70,60,0,0,0,80,0,0
293,你,萧敬腾,狂想曲,60,60,60,0,0,90,0,0,90,70,0,0
294,Marry Me,萧敬腾,以爱之名,60,80,90,90,90,0,0,0,0,60,0,0
295,多希望你在,萧敬腾,萧敬腾,70,80,80,0,10,90,0,0,70,70,0,0
296,水手,郑智化,私房歌,70,80,80,0,20,90,0,40,70,20,0,0
297,星星点灯,郑智化,星星点灯,80,80,70,0,20,90,0,70,0,30,0,0
298,蜗牛的家,郑智化,星星点灯,70,70,80,40,70,80,0,0,0,60,0,0
299,山水之间,许嵩,不如吃茶去,60,60,80,20,90,30,0,0,0,80,0,0
